loan_amount,loan_tenure_months,ltv,valuation_diff_pct,num_prev_mortgages,ownership_match_score,ocr_confidence,encumbrance_flag,credit_score,income,isFraud
1792743,101,90.93,-0.32,3,0.39,0.82,0,758,45716,1
4404572,98,55.91,10.83,1,0.71,0.65,0,369,77175,0
2334489,101,59.35,7.12,0,0.5,0.91,0,684,21834,1
1670006,17,51.28,-21.38,1,0.46,0.92,0,497,33179,1
1236074,81,69.99,-11.73,0,0.4,0.72,1,504,41219,0
4144887,55,92.75,-25.95,3,0.54,0.63,0,867,118153,1
1339911,83,89.16,19.35,2,0.95,1.0,0,730,161854,0
4572471,35,56.39,-24.37,2,0.32,0.7,0,624,227435,1
2238242,97,93.65,-15.02,1,0.9,0.63,0,741,89967,1
4623669,30,52.42,0.87,1,0.58,0.73,0,587,117454,0
1866891,112,78.02,12.56,0,0.69,0.99,0,525,24496,0
4621373,29,52.66,-36.91,3,0.66,0.92,0,363,234939,0
3444769,106,56.39,-21.94,0,0.95,0.79,0,859,185310,0
891743,112,53.44,-5.86,3,0.84,0.72,0,797,61025,0
203355,41,82.37,-2.9,3,0.99,0.77,0,359,74886,0
1362752,53,62.67,-35.8,1,0.86,0.61,0,696,169635,1
1496025,44,91.44,-0.16,2,0.51,0.89,0,556,18712,1
1407371,85,83.18,-8.32,2,0.97,0.64,0,876,109067,0
1017040,112,76.34,9.66,1,0.99,0.81,0,538,60489,0
2353882,23,57.44,-26.67,2,0.39,0.83,0,337,47664,0
3630409,105,97.59,-28.3,1,0.93,0.6,0,324,158492,1
4949115,38,52.55,7.6,0,0.76,0.99,0,709,200682,0
4821339,50,93.39,2.23,3,0.95,0.72,0,760,20315,1
4942447,20,72.65,7.5,2,0.94,0.63,0,870,216989,0
1600942,32,92.5,6.92,2,0.92,0.94,0,716,90033,1
4360029,87,56.53,-33.76,0,0.92,0.66,1,656,240648,0
3375709,40,87.62,-23.29,0,0.38,0.61,1,682,132862,1
184654,44,53.06,-24.39,2,0.4,0.8,0,457,243983,0
2054354,118,65.35,16.08,2,0.38,0.65,0,868,94030,1
2516182,73,51.32,-10.75,1,0.36,0.99,0,732,78910,0
3574675,26,77.5,-33.34,1,0.55,0.6,1,347,243360,1
2752991,13,68.76,-22.63,2,0.78,0.62,0,627,207044,0
2528388,63,59.02,12.31,1,0.55,0.93,0,732,136075,0
628178,114,54.59,10.82,0,0.8,0.7,0,730,236965,0
2763046,55,70.36,14.02,3,0.87,0.96,0,355,70919,0
2686644,65,52.84,-16.69,1,0.77,0.72,0,876,228558,0
2670406,29,89.45,-1.52,3,0.63,0.63,1,567,227360,1
3516664,14,58.52,-23.31,1,0.51,0.6,0,368,248998,1
3485659,18,74.17,-29.15,2,0.39,0.71,0,748,150204,1
3485357,54,90.8,-38.69,1,0.65,0.79,0,556,142153,1
2895513,93,72.12,-26.59,3,0.8,0.6,0,789,56598,0
1565689,119,53.19,-3.74,3,0.68,0.83,0,348,239884,0
168148,49,50.49,14.25,2,0.81,0.73,0,615,166623,0
1925665,48,71.8,-31.99,3,0.53,0.76,0,712,238583,0
2845683,69,53.01,15.08,2,0.35,0.7,0,733,83206,0
3497723,44,66.24,-19.28,2,0.84,0.81,0,301,89900,1
